lokasi_1,lokasi_2,haversine_m,osrm_m,rasio
Wisata Kayutangan Kota Malang,Bayleaf Guest House Syariah Batu,15419.1,18814.9,1.2202
Kampoeng Banyu River Tubing,warung Mulyorejo,54087.7,81208.2,1.5014
Taman Gotong Royong,Noura Guest House Syariah Cabang Soekarno Hatta,2846.2,4129.0,1.4507
Batu Economis Park,RedDoorz near Wisata Paribendo Lawang,17248.4,24990.8,1.4489
Hotel Syariah 99 by VRV,Pemandian Selo Agung,17066.7,40326.0,2.3628
Warung Nikmat Jaya,Griya Shanta Guest House,9431.0,13798.0,1.463
Puncak Kapur Segaran,Warung Nasi Soto Gule Rawon Sawahan,29273.9,38920.2,1.3295
Warung IJO KBA,DEPOT MAMAKU AYAM GORENG DAN NASI TIMBEL,19941.9,23860.4,1.1965
DEPOT MAMAKU AYAM GORENG DAN NASI TIMBEL,Giri Palma Villa,11427.9,18037.9,1.5784
Nusa Indah Homestay,Warung Krebet Timur,23724.8,31329.1,1.3205
Butik Capsule Hostel WA 0813-1569-6413,Warung Makan Aninda Spesial Soto Babat Soto Daging,22561.6,29768.1,1.3194
Warung Atikah,Pantai Gopit ꦥꦼꦱꦶꦱꦶꦂꦒꦺꦴꦥꦶꦠ꧀,62507.7,97136.3,1.554
